,log_redshift,log_mass,redshift,stellarMass,lastProgenitorId
0,0.0,0.0,0.0,0.8503699,ERROR
1,0.019736489815027125,-0.005094212840669643,0.019932542,0.84604895,3005146
2,0.04056890297529183,-0.011775613838069009,0.041403063,0.8404149999999999,3005146
3,0.06249900054116559,-0.019813519086258342,0.064493395,0.8336869,3005146
4,0.0855241157313577,-0.024936969353025324,0.08928783,0.82942647,3005146
5,0.10964635132940573,-0.037459846411155275,0.11588337,0.81910443,3005146
6,0.1348660028859176,-0.04762818666249401,0.14438343,0.8108177,3005146
7,0.16118100337364286,-0.06465621331975803,0.17489761,0.79712796,3005146
8,0.18859237902556894,-0.08812770897843596,0.20754863,0.77863604,3005146
9,0.21710060141562096,-0.13432660649995243,0.24246909,0.7434821999999999,3005146
10,0.24670522219199464,-0.19670575914551233,0.2798018,0.6985213,3005146
11,0.27740703711281667,-0.29292366745232273,0.31970343,0.6344432,3005146
12,0.3092040076554107,-0.32570608013061575,0.36234027,0.61398184,3005146
13,0.3420988347307431,-0.3713916930579863,0.40789944,0.5865628,3005146
14,0.3760893272505181,-0.40500873444028984,0.45657724,0.56717205,3005146
15,0.41117636777153577,-0.4376259237893172,0.5085914,0.54897094,3005146
16,0.44735955134965566,-0.461280213711947,0.5641765999999999,0.5361378000000001,3005146
17,0.4846398084030398,-0.4833250741410489,0.6235901,0.52444804,3005146
18,0.5230162946674007,-0.5021805843449381,0.6871088000000001,0.51465195,3005146
19,0.5624891644039385,-0.6128311359997098,0.75503564,0.46074295,3005146
20,0.6030578533559683,-0.6605017645282487,0.8276991,0.43929434,3005146
21,0.6447247087833795,-0.7028704407285342,0.9054624,0.42107079999999997,3005146
22,0.6874852520511044,-0.7361667159706815,0.98870814,0.40728155,3005146
23,0.7313454962430057,-0.7683625545965842,1.0778745,0.39437762,3005146
24,0.7763005834619792,-0.8041466213605061,1.173417,0.3805147,3005146
25,0.8223519392883692,-0.8631906224604311,1.2758462,0.358698,3005146
26,0.8695001691685132,-0.9196008249228679,1.3857181,0.3390239,3005146
27,0.9177442749683676,-1.1494001537233511,1.5036365,0.26941994,3005146
28,0.9670867686496291,-1.2918483605210507,1.6302707,0.23364972,3005146
29,1.0175237009192994,-1.455226974931599,1.7663360000000001,0.1984316,3005146
30,1.0690573800856518,-1.558412393263613,1.9126327,0.17897731,3005146
31,1.1216864866407106,-1.658096083935313,2.0700274,0.16199660000000002,3005146
32,1.175414520898475,-1.7824487606113986,2.2394855,0.14305407,3005146
33,1.2302380333651295,-1.8325010167002136,2.422044,0.13607013,3005146
34,1.2861594459758827,-1.840368356958739,2.6188613999999997,0.13500382,3005146
35,1.3431735544795838,-2.087676089816047,2.8311827000000003,0.10542453,3005146
36,1.4012861702591275,-2.1561967782715667,3.060419,0.09844270000000001,3005146
37,1.4604964609863174,-2.264433599323919,3.3080977999999996,0.08834396,3005146
38,1.5208044933724845,-2.4402795160041135,3.575905,0.07409825,3005146
39,1.5822070552246459,-2.6538629989982128,3.8656828,0.059848025,3005146
40,1.6447024641364116,-2.7793511110682565,4.1794686,0.052789922999999996,3005146
41,1.7082973498017446,-3.137996338477784,4.5195555999999995,0.03688021,3005146
42,1.772992635312652,-3.487234489677067,4.888449,0.026008852000000002,3005146
43,1.8387756163148374,-3.872870246912927,5.288833599999999,0.017686491999999998,3005146
44,1.905663078520301,-4.3126618546216084,5.7238646,0.011393118999999998,3005146
45,1.9736411515136238,-5.123431357353185,6.1968336,0.0050644222999999995,3005146
46,0.0,0.0,0.0,1.5062859,3005146
47,0.019736489815027125,-0.008414321533055111,0.019932542,1.4936646999999998,12001993
48,0.04056890297529183,-0.01714753637956331,0.041403063,1.480677,12001993
49,0.06249900054116559,-0.02391608952379292,0.064493395,1.4706888,12001993
50,0.0855241157313577,-0.0375041151046818,0.08928783,1.4508402,12001993
51,0.10964635132940573,-0.04689660077708301,0.11588337,1.4372770000000001,12001993
52,0.1348660028859176,-0.05846247311485298,0.14438343,1.4207493999999998,12001993
53,0.16118100337364286,-0.07726607357977289,0.17489761,1.3942838,12001993
54,0.18859237902556894,-0.08928137689084449,0.20754863,1.3776313,12001993
55,0.21710060141562096,-0.09978537338333876,0.24246909,1.3632364,12001993
56,0.24670522219199464,-0.1089851074337566,0.2798018,1.3507525,12001993
57,0.27740703711281667,-0.13250480492578445,0.31970343,1.3193538999999999,12001993
58,0.3092040076554107,-0.1549155903106793,0.36234027,1.290115,12001993
59,0.3420988347307431,-0.1779139954696622,0.40789944,1.260783,12001993
60,0.3760893272505181,-0.1939727469257503,0.45657724,1.2406981000000001,12001993
61,0.41117636777153577,-0.2260416362416737,0.5085914,1.2015415,12001993
62,0.44735955134965566,-0.2552541300606358,0.5641765999999999,1.1669492,12001993
63,0.4846398084030398,-0.29132566122659326,0.6235901,1.1256057,12001993
64,0.5230162946674007,-0.33195164346482997,0.6871088000000001,1.0807933,12001993
65,0.5624891644039385,-0.36641621283350295,0.75503564,1.0441788,12001993
66,0.6030578533559683,-0.3935684073600082,0.8276991,1.0162084999999998,12001993
67,0.6447247087833795,-0.4194539538229624,0.9054624,0.99024093,12001993
68,0.6874852520511044,-0.4491141875351259,0.98870814,0.96130145,12001993
69,0.7313454962430057,-0.49597812401555524,1.0778745,0.9172904000000001,12001993
70,0.7763005834619792,-0.5277468253418415,1.173417,0.8886073,12001993
71,0.8223519392883692,-0.5605043423274207,1.2758462,0.85997033,12001993
72,0.8695001691685132,-0.6067629894159471,1.3857181,0.82109535,12001993
