,log_redshift,log_mass,redshift,m_Crit200,lastProgenitorId
0,0.0,0.0,0.0,480.50464000000005,ERROR
1,0.019736489815027125,-0.002690353600914245,0.019932542,479.21365,8002438
2,0.04056890297529183,-0.010805074889169203,0.041403063,475.3407,8002438
3,0.06249900054116559,-0.028339761307157086,0.064493395,467.0784,8002438
4,0.0855241157313577,-0.05940513034345319,0.08928783,452.7915,8002438
5,0.10964635132940573,-0.062260360398545406,0.11588337,451.50052,8002438
6,0.1348660028859176,-0.07376355388967792,0.14438343,446.33657999999997,8002438
7,0.16118100337364286,-0.07685355076104737,0.17489761,444.95953,8002438
8,0.18859237902556894,-0.12155156113738036,0.20754863,425.50867,8002438
9,0.21710060141562096,-0.1054998603598062,0.24246909,432.39392000000004,8002438
10,0.24670522219199464,-0.08034126825958052,0.2798018,443.41034,8002438
11,0.27740703711281667,-0.054853581283572476,0.31970343,454.8571,8002438
12,0.3092040076554107,-0.07318527872869045,0.36234027,446.59475999999995,8002438
13,0.3420988347307431,-0.1203386202499851,0.40789944,426.0251,8002438
14,0.3760893272505181,-0.1730151590910432,0.45657724,404.1644,8002438
15,0.41117636777153577,-0.25462073327596235,0.5085914,372.49222000000003,8002438
16,0.44735955134965566,-0.3272013119113471,0.5641765999999999,346.41434,8002438
17,0.4846398084030398,-0.3500695725687641,0.6235901,338.58234,8002438
18,0.5230162946674007,-0.36880003371647563,0.6871088000000001,332.29956,8002438
19,0.5624891644039385,-0.35644470063232664,0.75503564,336.4307,8002438
20,0.6030578533559683,-0.3487994331555414,0.8276991,339.01266,8002438
21,0.6447247087833795,-0.3979703812599722,0.9054624,322.74627999999996,8002438
22,0.6874852520511044,-0.44828168831639953,0.98870814,306.9102,8002438
23,0.7313454962430057,-0.5770970103915972,1.0778745,269.8159,8002438
24,0.7763005834619792,-0.629146134755794,1.173417,256.13144,8002438
25,0.8223519392883692,-0.6790962355569944,1.2758462,243.65192000000002,8002438
26,0.8695001691685132,-0.7272155076015929,1.3857181,232.20517999999998,8002438
27,0.9177442749683676,-0.8042358342716028,1.5036365,214.99205,8002438
28,0.9670867686496291,-0.8747166944874805,1.6302707,200.36088999999998,8002438
29,1.0175237009192994,-1.0255796023483992,1.7663360000000001,172.30347,8002438
30,1.0690573800856518,-1.0852681135548325,1.9126327,162.31985,8002438
31,1.1216864866407106,-1.1481819269640852,2.0700274,152.4223,8002438
32,1.175414520898475,-1.2572508684462032,2.2394855,136.67229,8002438
33,1.2302380333651295,-1.4650840057509518,2.422044,111.02472,8002438
34,1.2861594459758827,-1.8705491138591162,2.6188613999999997,74.01648,8002438
35,1.3431735544795838,-2.04684238605937,2.8311827000000003,62.05335,8002438
36,1.4012861702591275,-2.267907711102903,3.060419,49.745956,8002438
37,1.4604964609863174,-2.3698139607766913,3.3080977999999996,44.92628,8002438
38,1.5208044933724845,-2.352719550053344,3.575905,45.70087,8002438
39,1.5822070552246459,-2.424946060308573,3.8656828,42.51644,8002438
40,1.6447024641364116,-2.6511306445588563,4.1794686,33.909874,8002438
41,1.7082973498017446,-3.167896013108945,4.5195555999999995,20.225433,8002438
42,1.772992635312652,-3.380457439479134,4.888449,16.352478,8002438
43,1.8387756163148374,-4.012360999642148,5.288833599999999,8.692633,8002438
44,1.905663078520301,-4.567038515854224,5.7238646,4.991809,8002438
45,1.9736411515136238,-4.7154585025423055,6.1968336,4.3032837,8002438
46,2.042723938132173,-4.820819025946154,6.7115865,3.8729553,8002438
47,2.11289904478054,-4.989895413066048,7.272188000000001,3.2704953999999997,8002438
48,2.1841622464523227,-5.331644684138913,7.8832035000000005,2.3237731,8002438
49,2.2565319397904977,-6.324896414976405,8.549911999999999,0.86065674,8002438
50,0.0,0.0,0.0,936.6527,8002438
51,0.019736489815027125,0.0030276565210379217,0.019932542,939.49286,9000812
52,0.04056890297529183,-0.01854820850349421,0.041403063,919.4396,9000812
53,0.06249900054116559,-0.02192377811621891,0.064493395,916.3412,9000812
54,0.0855241157313577,-0.02173598361261188,0.08928783,916.5133,9000812
55,0.10964635132940573,-0.020047091424849086,0.11588337,918.0625,9000812
56,0.1348660028859176,-0.01509077829082886,0.14438343,922.6239999999999,9000812
57,0.16118100337364286,-0.004143509592737484,0.17489761,932.7797,9000812
58,0.18859237902556894,0.0054980540494216235,0.20754863,941.81665,9000812
59,0.21710060141562096,0.01613308489639221,0.24246909,951.88635,9000812
60,0.24670522219199464,0.04034041346362587,0.2798018,975.21014,9000812
61,0.27740703711281667,0.02226252692124517,0.31970343,957.7388,9000812
62,0.3092040076554107,-0.0004595608314329004,0.36234027,936.22235,9000812
63,0.3420988347307431,-0.0007353346336067229,0.40789944,935.9642,9000812
64,0.3760893272505181,-0.06540262967095077,0.45657724,877.35345,9000812
65,0.41117636777153577,-0.08002743176172071,0.5085914,864.6157,9000812
66,0.44735955134965566,-0.07933083306011855,0.5641765999999999,865.2182,9000812
67,0.4846398084030398,-0.22618037828946672,0.6235901,747.05005,9000812
68,0.5230162946674007,-0.22767925879711248,0.6871088000000001,745.93115,9000812
69,0.5624891644039385,-0.28465447979498776,0.75503564,704.6196,9000812
70,0.6030578533559683,-0.36843967496475916,0.8276991,647.9884599999999,9000812
71,0.6447247087833795,-0.7644530033327039,0.9054624,436.09475999999995,9000812
72,0.6874852520511044,-0.94902696369704,0.98870814,362.59467,9000812
73,0.7313454962430057,-0.9677145836494673,1.0778745,355.88156000000004,9000812
74,0.7763005834619792,-0.991947833590517,1.173417,347.36105,9000812
75,0.8223519392883692,-1.0511488348387814,1.2758462,327.3938,9000812
