galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
2005267,2005273,-1,2002369,63000000003508,63000000003508,2000000,2005268,-1,0,63,0.0,1.1188537,2501,27.58387,29.27984,10.061157,16098,3,3,1,184.21304,-318.46213,171.82318,20,1.1188537,0.03637231,36.372334,42.651882,0.04311253,0.0139418375,0.0,3.3799149E-4,0.06855346,0.0,3.726561E-4,4.569489E-5,0.0,1.0144703E-6,2.0576097E-4,0.0,0.0,38.14458,0.006480473,0.0071580596,-16.042625,-16.594687,-17.108948,-17.521923,-18.690456,99.0,99.0,99.0,99.0,99.0,-16.032051,-16.585968,-17.101892,-17.516794,-18.688957,1.6247202,944
2005268,2005273,2005267,2002370,62000000003270,62000000003270,2000000,2005269,-1,0,62,0.019932542,1.1188537,2498,27.543737,29.346241,10.018793,16112,3,3,1,191.45142,-333.08862,195.09415,23,1.1188537,0.036189284,36.464195,39.844547,0.043098357,0.0139418375,0.0,3.9355364E-4,0.0756539,0.0,3.7261355E-4,4.569489E-5,0.0,1.1812383E-6,2.270727E-4,0.0,0.0,38.2519,0.009922118,0.0077309343,-16.33839,-16.889452,-17.412092,-17.844513,-19.117334,99.0,99.0,99.0,99.0,99.0,-16.333876,-16.88573,-17.409082,-17.842323,-19.116695,1.3612882,751
2005269,2005273,2005268,2002371,61000000003291,61000000003291,2000000,2005270,-1,0,61,0.041403063,1.032788,2498,27.513021,29.43189,9.980098,16112,3,3,1,197.89519,-354.19107,226.18242,22,1.032788,0.035040777,35.603172,41.084736,0.04307938,0.0139418375,0.0,4.5945778E-4,0.08394572,0.0,3.7255662E-4,4.569489E-5,0.0,1.3790475E-6,2.5196033E-4,0.0,0.0,38.346706,0.012157283,0.008294654,-16.583958,-17.03252,-17.469091,-17.826954,-18.87717,99.0,99.0,99.0,99.0,99.0,-16.580952,-17.030043,-17.467087,-17.825495,-18.876745,1.085432,372
2005270,2005273,2005269,2002372,60000000002705,60000000002705,2000000,2005271,-1,0,60,0.064493395,1.4631164,2498,27.462622,29.506107,9.926965,16112,3,3,1,206.4858,-380.37222,259.28018,23,1.4631164,0.039113667,40.109306,46.262688,0.04305494,0.0139418375,0.0,0.0,0.09365523,0.0,3.7248328E-4,4.569489E-5,0.0,0.0,2.8110313E-4,0.016054664,0.0,0.0,0.004904704,0.039113667,-16.933083,-17.273602,-17.642601,-17.96813,-18.970549,99.0,99.0,99.0,99.0,99.0,-16.91426,-17.258131,-17.630093,-17.95902,-18.967865,0.79757905,428
2005271,2005273,2005270,2002373,59000000002449,59000000002449,2000000,2005272,-1,0,59,0.08928783,1.4631164,2498,27.421373,29.599508,9.861153,16112,3,3,1,216.56439,-410.72174,306.0124,27,1.4631164,0.03884987,40.24525,41.804596,0.04448115,0.013741884,0.0,5.5604253E-4,0.092428975,0.0,3.7414054E-4,4.3990396E-5,0.0,1.6280594E-6,2.7062654E-4,0.0,0.0,38.55424,0.014675632,0.009401373,-17.318058,-17.565935,-17.871813,-18.174454,-19.133688,99.0,99.0,99.0,99.0,99.0,-17.315928,-17.56418,-17.870392,-18.173422,-19.133387,0.5076099,449
2005272,2005273,2005271,2002374,58000000002382,58000000002382,2000000,2005273,-1,0,58,0.11588337,2.065576,2498,27.351307,29.70873,9.776162,16112,3,3,1,234.9234,-446.4173,368.19897,21,2.065576,0.04325889,45.316135,41.439026,0.044447646,0.013741884,0.0,0.0,0.10424534,0.0,3.7404246E-4,4.3990396E-5,0.0,0.0,3.0522415E-4,1.0129347,0.0,0.0,0.0010414334,0.04325889,-18.534357,-18.647243,-18.887087,-19.149923,-20.02584,99.0,99.0,99.0,99.0,99.0,-18.05242,-18.242498,-18.551195,-18.896404,-19.939459,0.19735594,607
2005273,2005273,2005272,2002375,57000000002194,57000000002194,2000000,-1,-1,0,57,0.14438343,2.3237731,2522,27.28209,29.832129,9.673359,16029,3,3,1,254.06488,-485.2149,438.65866,25,2.3237731,0.04462402,47.324112,46.2106,0.1409296,2.2966579E-4,0.0,0.0,0.021275587,0.0,1.20154455E-5,9.6897095E-9,0.0,0.0,6.2538554E-8,0.016714096,0.0,43.278473,0.007212613,0.045616847,-14.964488,-14.724631,-14.692762,-14.609219,-14.572782,99.0,99.0,99.0,99.0,99.0,-14.964459,-14.724608,-14.692744,-14.609205,-14.572778,0.054871984,550
