galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
2005052,2005082,-1,2002089,63000000003238,63000000003238,2000000,2005053,-1,0,63,0.0,1.8934448,2523,26.794846,29.061079,9.369271,16015,3,3,1,338.27917,-256.70178,-51.05339,23,1.8934448,0.043344166,43.344196,63.872097,0.032187775,0.018232442,0.0,0.0,0.055522963,0.0,3.2687292E-4,8.974856E-5,0.0,0.0,3.9276372E-5,0.060375165,0.0,0.0,0.002678673,0.043344166,-16.282486,-16.68969,-17.152214,-17.559763,-18.774477,99.0,99.0,99.0,99.0,99.0,-16.175943,-16.610043,-17.090857,-17.515394,-18.76099,5.053837,150
2005053,2005082,2005052,2002090,62000000003191,62000000003191,2000000,2005054,-1,0,62,0.019932542,1.8073791,2523,26.728294,29.114267,9.383754,16015,2,3,1,328.9917,-281.4834,-49.31154,24,1.8073791,0.042462476,42.78504,57.90478,0.034788918,0.017570648,0.0,0.045164853,0.0,0.0,3.3774372E-4,8.332276E-5,0.0,0.0,0.0,0.0,0.0,41.011288,0.007606912,0.034736045,-15.64161,-16.258715,-16.813345,-17.269552,-18.550701,99.0,99.0,99.0,99.0,99.0,-15.634228,-16.252628,-16.80842,-17.26597,-18.549656,4.975573,689
2005054,2005082,2005053,2002091,61000000000964,61000000000963,2000000,2005055,-1,1,61,0.041403063,7.4877133,2523,26.657667,29.181303,9.396706,16015,2,3,1,309.83942,-313.9596,-47.796993,23,1.9795111,0.043526724,44.225315,52.891254,0.031723086,0.017570648,0.0,0.0,0.0,0.0,3.3774372E-4,8.332276E-5,0.0,0.0,0.0,0.02341003,0.0,0.0,0.0032298989,0.041968036,-16.064356,-16.553598,-17.05057,-17.477226,-18.726463,99.0,99.0,99.0,99.0,99.0,-16.011173,-16.512037,-17.01763,-17.453304,-18.719318,4.6997123,730
2005055,2005082,2005054,2002092,60000000003640,60000000003640,2000000,2005056,-1,0,60,0.064493395,1.8073791,2523,26.585033,29.2611,9.407496,16015,2,3,1,291.1108,-345.02362,-45.028427,22,1.8073791,0.041968036,43.036335,55.822693,0.03372521,0.017290253,0.0,0.0,0.10561621,0.0,3.4386257E-4,8.040449E-5,0.0,0.0,2.9874715E-4,0.036253527,0.0,0.0,0.0032334747,0.041968036,-16.275824,-16.712336,-17.179712,-17.588907,-18.809029,99.0,99.0,99.0,99.0,99.0,-16.215075,-16.666418,-17.143763,-17.56266,-18.80083,4.485601,853
2005056,2005082,2005055,2002093,59000000001474,59000000001474,2000000,2005057,-1,0,59,0.08928783,1.8934448,2522,26.51302,29.349024,9.419832,16029,2,3,1,266.5209,-378.43854,-42.185947,23,1.8934448,0.042336423,43.85703,47.20732,0.03694923,0.016838735,0.0,0.0,0.10284371,0.0,3.5191025E-4,7.5962416E-5,0.0,4.2351647E-22,2.7137742E-4,0.060240313,0.0,0.0,0.003097263,0.042336423,-16.489954,-16.874664,-17.313185,-17.704557,-18.897572,99.0,99.0,99.0,99.0,99.0,-16.43301,-16.830435,-17.278175,-17.678928,-18.889593,4.3023047,466
2005057,2005082,2005056,2002094,58000000002445,58000000002445,2000000,2005058,-1,0,58,0.11588337,2.065576,2522,26.462376,29.446276,9.4237175,16029,2,3,1,224183,-424.56412,-28.04741,24,2.065576,0.04325889,45.316135,53.349392,0.04250216,0.01606105,0.0,0.0,0.09806846,0.0,3.6104542E-4,6.898548E-5,0.0,0.0,2.282885E-4,0.02412337,0.0,0.0,0.004219037,0.04325889,-16.352312,-16.781624,-17.23452,-17.632288,-18.835875,99.0,99.0,99.0,99.0,99.0,-16.329912,-16.76328,-17.219717,-17.621517,-18.832712,4.192356,507
2005058,2005082,2005057,2002095,57000000003124,57000000003124,2000000,2005059,-1,0,57,0.14438343,2.1516418,2522,26.398075,29.564966,9.429124,16029,2,3,1,193.21475,-456.27274,-13.731762,25,2.1516418,0.043493807,46.125515,60.921825,0.04479991,0.015739253,0.0,0.0,0.096092515,0.0,3.6319424E-4,6.631798E-5,0.0,0.0,2.1187043E-4,0.09622249,0.0,0.0,0.003174515,0.043493807,-16.8518,-17.139175,-17.506231,-17.85018,-18.94035,99.0,99.0,99.0,99.0,99.0,-16.794914,-17.09409,-17.47021,-17.823654,-18.93184,3.9540348,27
2005059,2005082,2005058,2002096,56000000003051,56000000003051,2000000,2005060,-1,0,56,0.17489761,1.9795104,2522,26.351866,29.699686,9.43274,16028,2,3,1,153.53415,-493.94797,2.0196152,25,1.9795104,0.041922614,45.063477,67.29117,0.054240722,0.0144170765,0.0,0.0,0.087973885,0.0,3.6354168E-4,5.6604138E-5,0.0,0.0,1.5164856E-4,0.10297614,0.0,0.0,0.0037073886,0.041922614,-16.895193,-17.148361,-17.493963,-17.82911,-18.889372,99.0,99.0,99.0,99.0,99.0,-16.858877,-17.119444,-17.470863,-17.812151,-18.883982,3.9701693,722
2005060,2005082,2005059,2002097,55000000003352,55000000003352,2000000,2005061,-1,0,55,0.20754863,2.1516418,2522,26.316504,29.845675,9.421606,16028,2,3,1,92.68822,-538.25867,37.335854,25,2.1516418,0.042680483,46.56293,62.005524,0.06461725,0.012963853,0.0,0.0,0.07905057,0.0,3.4997732E-4,4.7872974E-5,0.0,0.0,9.7458666E-5,0.19395079,0.0,0.0,0.0033165782,0.042680483,-17.157206,-17.34624,-17.652828,-17.96513,-18.974684,99.0,99.0,99.0,99.0,99.0,-17.110777,-17.309479,-17.623493,-17.943304,-18.96718,4.0558634,403
2005061,2005082,2005060,2002098,54000000003013,54000000003013,2000000,2005062,-1,0,54,0.24246909,2.2377074,2522,26.293312,30.022362,9.404668,16028,2,3,1,26.763672,-579.9655,76.88837,27,2.2377074,0.042776342,47.43182,55.20839,0.084629916,0.010161096,0.0,0.0,0.06184068,0.0,2.9087978E-4,3.5730478E-5,0.0,4.2351647E-22,2.1185177E-5,0.07599392,0.0,0.0,0.0036224793,0.042776342,-16.789843,-16.95214,-17.255434,-17.543879,-18.526897,99.0,99.0,99.0,99.0,99.0,-16.759075,-16.928087,-17.236582,-17.529867,-18.52215,4.775841,754
