haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
8001849,63000000000311,8002438,8000000,63,0.0,8001850,-1,-1,8001849,8001785,6667,661.84503,480.50464,580.599,2715,26.431805,22.28519,25.547564,31417,2,2,2,97.73284,49.565758,-308.69156,170.32097,299.692,-6.7723556,3.4417634,1.3565787,17927625,0,311,0.14150885,107
8001850,62000000000295,8002343,8000000,62,0.019932542,8001851,8002344,8001849,8001850,8001786,6626,654.5294,479.21365,576.03754,2715,26.40808,22.27245,25.611399,31417,2,2,2,102.21868,53.655884,-306.1582,169.96707,299.19394,-6.2568226,3.3564503,1.3576651,1755382,0,295,0.14273115,180
8001851,61000000000304,8002343,8000000,61,0.041403063,8001852,-1,8001850,8001851,8001787,6404,646.3532,475.3407,571.56213,2715,26.389498,22.256872,25.676565,31417,2,2,2,105.14171,52.632256,-301.38907,169.76726,298.7261,-6.150581,3.5346646,1.2179364,1755382,0,304,0.13668562,716
8001852,60000000000297,8002280,8000000,60,0.064493395,8001853,8002281,8001851,8001852,8001788,6404,639.12366,467.0784,558.91046,2715,26.363474,22.237818,25.7424,31416,2,2,2,107.70533,53.886467,-299.37686,169.22305,298.7203,-6.0842643,3.0328496,1.0501952,1755425,0,297,0.1368201,505
8001853,59000000000307,8002279,8000000,59,0.08928783,8001854,8002280,8001852,8001853,8002481,6338,626.3859,452.7915,549.01294,2715,26.34584,22.218304,25.811237,31416,2,2,2,113.482,53.094597,-296.77576,171.56502,303.77667,-5.8336525,3.334599,1.2993225,1755382,0,307,0.13346592,571
8001854,58000000000288,8002260,8000000,58,0.11588337,8001855,8002261,8001853,8001854,8001790,6264,612.09906,451.50052,546.0867,2715,26.319294,22.197746,25.889442,31416,2,2,2,118.3653,52.828712,-291.0658,170.2622,303.21323,-5.333245,3.3446379,1.4202248,1755382,0,288,0.13396412,683
8001855,57000000000303,8002221,8000000,57,0.14438343,8001856,8002222,8001854,8001855,8001791,6112,606.5908,446.33658,541.267,2715,26.288273,22.175014,25.975178,31416,2,2,2,123.14564,52.64512,-291.83804,165.7064,294.68994,-5.015221,3.258521,0.9911195,1742465,0,303,0.13739207,595
8001856,56000000000245,8002221,8000000,56,0.17489761,8001857,-1,8001855,8001856,8001792,6099,605.6441,444.95953,538.94324,2715,26.256403,22.158417,26.061956,31416,2,2,2,128.38663,51.93805,-290.03723,163.56775,291.146,-4.720733,3.1898284,0.6704237,1755382,0,245,0.14031842,222
8001857,55000000000251,8002221,8000000,55,0.20754863,8001858,-1,8001856,8001857,8001793,6065,597.55396,425.50867,542.2998,2715,26.216658,22.140963,26.151646,31416,2,2,2,132.92969,51.830257,-284.03244,167.25224,295.67334,-4.453763,2.5458853,0.32715827,1742465,0,251,0.13694303,53
8001858,54000000000225,8002203,8000000,54,0.24246909,8001859,8002204,8001857,8001858,8001794,5876,592.2179,432.39392,525.86127,2715,26.183964,22.134075,26.236858,31416,2,2,2,134.55222,50.23702,-283.40292,170.91519,297.88358,-4.743506,2.7589424,0.22072001,1755382,0,225,0.1274037,294
8001859,53000000000247,8002203,8000000,53,0.2798018,8001860,-1,8001858,8001859,8001795,5850,565.8818,443.41034,518.976,2715,26.136568,22.113594,26.328539,31416,2,2,2,138.6817,47.160595,-277.31693,176.39232,304.24622,-5.0807137,2.8344386,0.27053812,17927625,0,247,0.11964272,836
