galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
27000039,27000042,27000038,27000039,24000000000747,24000000000747,27000000,27000040,-1,0,24,3.8656828,2.6680357,1111,22.469126,1.6115253,29.10392,22863,2,0,3,147.37778,-16.748697,-125.54807,73,2.6680357,0.015718026,85.441086,92.608696,0.15243036,0.00952069,0.0,0.032671403,0.19599076,0.0,3.2671483E-4,3.0887713E-5,0.0,1.2926029E-5,1.3056034E-4,0.21010816,0.0,42.15169,0.004512299,0.012940606,-18.115494,-18.196146,-18.403175,-18.62954,-19.437172,99.0,99.0,99.0,99.0,99.0,-18.084711,-18.172674,-18.385399,-18.616877,-19.433817,0.2680444,108
27000040,27000042,27000039,27000040,23000000001739,23000000001739,27000000,27000041,-1,0,23,4.1794686,1.8934448,1111,22.380129,1.6041566,29.177366,22862,2,0,3,126.746284,4.317668,-143.22665,29,1.8934448,0.013189849,78.57355,90.840576,0.040830866,0.008233831,0.0,0.0018095121,0.2198065,0.0,2.4401836E-4,2.8114115E-5,0.0,2.2956426E-6,1.5893146E-4,0.6701662,0.0,40.21385,9.782428E-4,0.0050180997,-18.39715,-18.424833,-18.604824,-18.814123,-19.647745,99.0,99.0,99.0,99.0,99.0,-17.952553,-18.073282,-18.330177,-18.618797,-19.595022,0.15686786,679
27000041,27000042,27000040,27000041,22000000001740,22000000001740,27000000,27000042,-1,0,22,4.5195556,1.4631164,1111,22.311811,1.6038156,29.242292,22862,2,0,3,114.372696,10.088417,-125.65299,24,1.4631164,0.011371787,74.38666,76.75373,0.051237483,0.0044262367,0.0,6.4787606E-4,0.15144046,0.0,1.733795E-4,8.967488E-6,0.0,5.18533E-7,5.00943E-5,0.5799652,0.0,43.278732,0.0011396453,0.011918422,-18.144651,-18.161364,-18.324966,-18.50497,-19.199936,99.0,99.0,99.0,99.0,99.0,-17.934467,-17.989904,-18.187475,-18.401365,-19.165148,0.09314509,795
27000042,27000042,27000041,27000042,21000000001897,21000000001897,27000000,-1,-1,0,21,4.888449,0.86065674,1110,22.23009,1.6002597,29.302298,22890,2,0,3,119.89631,9.89101,-113.359825,20,0.86065674,0.008940543,64.343254,71.11795,0.04646343,0.001376419,0.0,5.251673E-4,0.06723004,0.0,6.501406E-5,1.0309758E-6,0.0,8.582385E-8,6.312246E-6,0.28347468,0.0,38.835236,0.001182372,0.0011069465,-17.240644,-17.12767,-17.194746,-17.241392,-17.571318,99.0,99.0,99.0,99.0,99.0,-17.150183,-17.055069,-17.136683,-17.197786,-17.556421,0.037422266,51
27001184,27001316,-1,27000729,63000000000566,63000000000566,27000000,27001185,-1,0,63,0.0,90.19682,1455,25.773157,1.1330036,27.75331,23306,2,0,3,319.94928,-314.8504,-185.49382,1183,90.19682,0.15712437,157.12447,200.03342,1.4234086,4.6535144,0.51594037,7.067243,1.6772349,0.0021406754,0.036834087,0.06912287,0.0042782244,0.115626216,0.024958016,1.6341459,0.0,42.98824,0.023025984,0.10028168,-20.90678,-21.567211,-22.187899,-22.749853,-24.263239,-17.88854,-18.72313,-19.419962,-20.003607,-21.455843,-20.758839,-21.454105,-22.098316,-22.684591,-24.243607,8.150707,655
27001185,27001316,27001184,27000730,62000000000570,62000000000570,27000000,27001186,-1,0,62,0.019932542,89.766495,1455,25.714664,1.198191,27.789492,23306,2,0,3,316.69806,-316.63547,-183.31723,1165,89.766495,0.15608469,157.27039,197.02495,1.509164,4.6356025,0.51594037,6.8287134,1.7781135,0.0021395439,0.03848874,0.06866294,0.0042782244,0.11209732,0.026349394,2.2173588,0.0,42.899715,0.020895243,0.09848793,-21.046787,-21.660524,-22.258696,-22.80799,-24.309034,-17.92208,-18.753555,-19.448149,-20.029753,-21.480051,-20.806854,-21.487661,-22.12329,-22.707289,-24.274496,7.9182525,547
27001186,27001316,27001185,27000731,61000000000573,61000000000573,27000000,27001187,-1,0,61,0.041403063,89.68043,1455,25.645557,1.2652879,27.829617,23306,2,0,3,312.18915,-315.85745,-180.68173,1158,89.68043,0.15516815,157.65855,190.50537,1.6573113,4.610152,0.51594037,6.603307,1.8697416,0.0021383904,0.04117827,0.06802269,0.0042782244,0.107509084,0.027548775,2.319002,0.0,42.744823,0.022428792,0.09609096,-21.188004,-21.755669,-22.326967,-22.860714,-24.341635,-17.959412,-18.787271,-19.479395,-20.05888,-21.507494,-20.988792,-21.606445,-22.209408,-22.77438,-24.314205,7.6853266,895
27001187,27001316,27001186,27000732,60000000000553,60000000000553,27000000,27001188,-1,0,60,0.064493395,89.16403,1455,25.576536,1.3370466,27.863676,23306,2,0,3,306.7517,-315.25092,-178.12444,1177,89.16403,0.15392132,157.8394,190.72041,1.8357444,4.582377,0.51594037,6.263969,1.974452,0.0021372288,0.044249937,0.06734339,0.0042782244,0.10228728,0.028916365,12.553414,0.0015200916,42.43997,0.022482894,0.09348165,-21.504177,-21.957355,-22.473907,-22.976799,-24.421646,-18.001652,-18.824915,-19.5142,-20.091488,-21.53883,-21.305487,-21.80204,-22.35015,-22.885962,-24.393291,7.443158,838
27001188,27001273,27001187,27000733,59000000000582,59000000000582,27000000,27001189,27001274,0,59,0.08928783,89.33617,1455,25.502846,1.4131305,27.910818,23306,2,0,3,301.08524,-315.66983,-176.2072,1147,89.33617,0.15298155,158.47621,197.29437,2.750379,4.093587,0.18347786,5.8899164,1.5934039,0.0010747662,0.05837235,0.060943365,0.0012617807,0.08899787,0.0224717,4.4326487,0.0,43.824886,0.022902705,0.08775582,-21.203402,-21.71303,-22.27088,-22.798798,-24.26956,-16.703182,-17.524233,-18.216179,-18.787313,-20.186977,-20.978876,-21.537956,-22.131071,-22.696259,-24.237793,7.390189,925
27001189,27001273,27001188,27000734,58000000000551,58000000000551,27000000,27001190,-1,0,58,0.11588337,89.68043,1455,25.434244,1.497038,27.956224,23306,2,0,3,290.46732,-313.01346,-169.57434,1148,89.68043,0.15204106,159.2716,195.46066,2.764675,4.036363,0.18347786,6.01703,1.5716221,0.0010741717,0.058132097,0.059737593,0.0012617807,0.0879049,0.021989664,4.926025,0.0,43.84372,0.021465128,0.08685437,-21.2333,-21.734318,-22.289965,-22.816675,-24.284058,-16.732723,-17.551744,-18.242144,-18.811718,-20.209097,-20.872545,-21.469694,-22.076853,-22.65191,-24.217167,7.1825004,288
27001190,27001273,27001189,27000735,57000000000573,57000000000573,27000000,27001191,-1,0,57,0.14438343,88.7337,1448,25.35715,1.5774593,28.002249,23299,2,0,3,286.1717,-314.20447,-167.65784,1131,88.7337,0.15026817,159.36053,196.238,2.8238323,3.970652,0.18347786,5.9089584,1.5293341,0.0010735504,0.05849251,0.05836919,0.0012617807,0.08618447,0.021244826,4.618852,0.0,43.845383,0.02286955,0.08598571,-21.19594,-21.711536,-22.274708,-22.805138,-24.275326,-16.763988,-17.580692,-18.269337,-18.837198,-20.232162,-20.940834,-21.516663,-22.118082,-22.688013,-24.23591,6.9781194,459
27001191,27001273,27001190,27000736,56000000000569,56000000000569,27000000,27001192,-1,0,56,0.17489761,87.87305,1448,25.275719,1.670786,28.047756,23299,2,0,3,282.76483,-314.15234,-165.3717,1115,87.87305,0.14843887,159.55998,190.4906,2.8344512,3.907185,0.18347786,5.937596,1.4961466,0.0010728915,0.05824544,0.057064127,0.0012617807,0.083968885,0.020719202,4.704848,0.0,43.856026,0.02268686,0.085053794,-21.187624,-21.708233,-22.274931,-22.806942,-24.277527,-16.796947,-17.611046,-18.2977,-18.863705,-20.256311,-20.935808,-21.513643,-22.117472,-22.688797,-24.23765,6.758549,597
27001192,27001273,27001191,27000737,55000000000566,55000000000566,27000000,27001193,-1,0,55,0.20754863,87.44272,1448,25.189783,1.7712612,28.092506,23299,2,0,3,273.1034,-310.82217,-157.42178,1093,87.44272,0.14673956,160.08778,197.89456,2.8582332,3.8407893,0.18347786,5.9468513,1.45992,0.0010722205,0.05814351,0.055710275,0.0012617807,0.08243578,0.020175382,4.374278,0.0,43.86872,0.024026457,0.0840311,-21.148312,-21.684807,-22.258804,-22.794048,-24.267286,-16.83179,-17.642994,-18.327465,-18.89154,-20.281916,-20.895319,-21.493,-22.101885,-22.673458,-24.22249,6.533296,881
27001193,27001273,27001192,27000738,54000000000539,54000000000539,27000000,27001194,-1,0,54,0.24246909,86.84026,1448,25.101828,1.8742473,28.13512,23299,2,0,3,269.23868,-311.17612,-154.20508,1076,86.84026,0.14482479,160.58652,192.53125,2.8377848,3.7775772,0.18347786,5.94828,1.4426075,0.001071522,0.057492442,0.054430645,0.0012617807,0.08120417,0.019948984,4.2155304,0.0,43.884636,0.02439799,0.08314688,-21.1344,-21.67726,-22.253012,-22.788641,-24.262154,-16.868942,-17.67687,-18.358927,-18.920933,-20.30894,-20.918245,-21.509808,-22.11701,-22.686312,-24.227402,6.2924266,484
27001194,27001273,27001193,27000739,53000000000573,53000000000573,27000000,27001195,-1,0,53,0.2798018,87.35666,1451,25.014612,1.9735183,28.182104,23313,2,0,3,258.2921,-308.70218,-145.76572,1046,87.35666,0.14340037,161.86124,193.34282,2.7739167,3.7153828,0.18347786,6.16841,1.4377271,0.0010707842,0.05646274,0.05317257,0.0012617807,0.08007357,0.019994529,4.3278537,0.0,43.917736,0.02343311,0.08196961,-21.141045,-21.68398,-22.259521,-22.794918,-24.26813,-16.908468,-17.712934,-18.392456,-18.952309,-20.337685,-20.852667,-21.468348,-22.08052,-22.652348,-24.206173,6.040243,296
27001195,27001273,27001194,27000740,52000000000553,52000000000553,27000000,27001196,-1,0,52,0.31970343,86.754196,1451,24.923767,2.076756,28.241966,23313,2,0,3,249.12875,-306.4152,-137.29886,1025,86.754196,0.14122596,162.53914,199.805,2.7004273,3.6503868,0.18347786,6.2022104,1.4389336,0.0010700047,0.05565591,0.051846635,0.0012617807,0.0783549,0.020266607,3.8679361,0.0,43.935513,0.02452669,0.080763265,-21.106993,-21.66669,-22.247993,-22.7861,-24.262806,-16.950787,-17.751566,-18.428467,-18.985973,-20.368858,-20.925243,-21.522238,-22.13113,-22.699593,-24.23549,5.7836714,886
27001196,27001273,27001195,27000741,51000000000564,51000000000564,27000000,27001197,-1,0,51,0.36234027,84.43042,1451,24.832594,2.1792266,28.30063,23313,2,0,3,246.86049,-302.57568,-134.26028,968,84.43042,0.13798481,162.21979,190.95593,2.5728605,3.5914369,0.18347786,5.954617,1.4725522,0.0010692129,0.054343555,0.05062118,0.0012617807,0.076784484,0.021024035,3.8828988,0.0,43.93573,0.023258187,0.07999449,-21.123087,-21.683998,-22.264635,-22.801996,-24.277683,-16.996525,-17.793468,-18.467735,-19.022858,-20.403515,-20.860664,-21.489075,-22.104973,-22.676403,-24.225863,5.509355,635
27001197,27001273,27001196,27000742,50000000000580,50000000000580,27000000,27001198,-1,0,50,0.40789944,82.364845,1451,24.733267,2.3041584,28.358173,23317,2,0,3,242.74043,-305.1058,-124.16414,950,82.364845,0.13475238,162.13347,187.82835,2.4420724,3.53156,0.18347786,5.743296,1.5100727,0.0010684261,0.053117972,0.04934309,0.0012617807,0.07492879,0.021853916,3.8451095,0.0,43.937202,0.02221964,0.07892722,-21.13835,-21.70264,-22.282948,-22.819122,-24.293022,-17.045181,-17.838161,-18.509768,-19.062443,-20.441591,-20.88185,-21.51091,-22.127073,-22.698103,-24.245928,5.229062,574
27001198,27001273,27001197,27000743,49000000000526,49000000000526,27000000,27001199,-1,0,49,0.45657724,78.92222,1451,24.632952,2.418863,28.406006,23317,2,0,3,232.73009,-306.2588,-109.94041,922,78.92222,0.13063313,161.1918,196.68834,2.3210769,3.471755,0.18347786,5.2635245,1.5492784,0.0010676628,0.05208514,0.04802612,0.0012617807,0.07260844,0.022683267,3.542817,0.0,43.91295,0.02233431,0.07781871,-21.147522,-21.7213,-22.302256,-22.836569,-24.308115,-17.095251,-17.883942,-18.552666,-19.102953,-20.481205,-20.887995,-21.524733,-22.142942,-22.714186,-24.26269,4.9421625,292
27001199,27001273,27001198,27000744,48000000000504,48000000000504,27000000,27001200,-1,0,48,0.5085914,73.069756,1451,24.542097,2.5564764,28.446943,23317,2,0,3,224.63957,-307.2973,-98.669235,883,73.069756,0.12501645,158.54597,191.63428,2.2220576,3.4163508,0.18347786,4.294895,1.5706761,0.0010669804,0.050814644,0.046771366,0.0012617807,0.07062903,0.022922013,3.8759184,0.0,43.83894,0.020275295,0.07701127,-21.223734,-21.784142,-22.355694,-22.881962,-24.342634,-17.148058,-17.93218,-18.597609,-19.145123,-20.52243,-20.939596,-21.56564,-22.178513,-22.746693,-24.293962,4.643458,99
27001200,27001273,27001199,27000745,47000000000513,47000000000513,27000000,27001201,-1,0,47,0.5641766,70.57385,1451,24.438547,2.689217,28.483772,23317,2,0,3,214.46582,-305.57162,-86.02122,847,70.57385,0.121154055,158.27885,196.76707,2.1957562,3.3556018,0.18347786,3.8938084,1.6132022,0.001066378,0.0496534,0.04539136,0.0012617807,0.06974552,0.022884818,4.402188,0.0,43.820065,0.018504038,0.07575668,-21.320995,-21.861794,-22.42105,-22.93683,-24.383646,-17.203638,-17.983086,-18.644972,-19.189388,-20.565315,-21.021383,-21.623909,-22.228075,-22.792433,-24.33633,4.3474507,379
27001201,27001273,27001200,27000746,46000000000511,46000000000511,27000000,27001202,-1,0,46,0.6235901,69.62713,1451,24.347141,2.8275707,28.521889,23316,2,0,3,199.70853,-300.35364,-70.950615,831,69.62713,0.11805517,159.26367,189.45247,2.2320352,3.2866752,0.18347786,3.7162876,1.6303602,0.0010658018,0.048675496,0.043862537,0.0012617807,0.0693048,0.021878583,5.1990285,0.0,43.835682,0.01674405,0.074386366,-21.442352,-21.9582,-22.502892,-23.006422,-24.43749,-17.259995,-18.033642,-18.690733,-19.230299,-20.601849,-21.111107,-21.696562,-22.289953,-22.84573,-24.38291,4.058373,655
