haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
1000020000035,63000100000090,1000020003314,1000020000000,63,0.0,1000020000036,-1,-1,1000020000035,1000020003315,78803,6955.5693,5010.743,6040.519,11687,61.982143,57.025124,6.3767953,112505,6,6,0,-175.85284,104.58075,-92.72623,356.8349,634.3811,-10.811845,-9.639856,-4.693084,7040674,1,90,0.38337108,38
1000020000036,62000100000086,1000020003184,1000020000000,62,0.019932542,1000020000037,1000020003185,1000020000035,1000020000036,1000020003316,75852,6912.4507,4990.26,5995.3345,11687,62.020794,57.00496,6.3880677,112505,6,6,0,-176.73352,109.70833,-92.44963,359.72516,635.9005,-6.553243,-13.226735,-7.9084907,2821347,1,86,0.36594364,127
1000020000037,61000100000084,1000020003184,1000020000000,61,0.041403063,1000020000038,-1,1000020000036,1000020000037,1000020003317,72391,6860.2944,4819.5913,5962.716,11687,62.060143,56.984867,6.394279,112505,6,6,0,-176.40862,117.666016,-95.49002,364.56436,637.51953,1.9636309,-15.611072,-13.465746,7020187,1,84,0.34407464,723
1000020000038,60000100000082,1000020003087,1000020000000,60,0.064493395,1000020000039,1000020003088,1000020000037,1000020000038,1000020003318,70504,6888.438,4712.0093,5973.0435,11687,62.100105,56.957,6.416836,112505,6,6,0,-172.6164,117.66091,-89.03051,368.40466,641.07916,2.9801276,-17.317623,-15.172323,2823423,1,82,0.33379826,262
1000020000039,59000100000082,1000020003059,1000020000000,59,0.08928783,1000020000040,1000020003060,1000020000038,1000020000039,1000020006704,67824,6918.561,4701.6816,5974.421,11687,62.143982,56.93215,6.432383,112505,6,6,0,-171.20918,117.60348,-88.32397,371.85104,636.42645,5.5489364,-19.492678,-17.689892,7019947,1,82,0.32185268,685
1000020000040,58000100000079,1000020002927,1000020000000,58,0.11588337,1000020000041,1000020002928,1000020000039,1000020000040,1000020007094,66613,6905.5654,4731.116,6101.5396,11687,62.187916,56.898613,6.462733,112505,6,6,0,-161.40617,112.22963,-81.33153,372.0813,634.6408,6.2869654,-19.61717,-18.209023,3020255,1,79,0.31424418,109
1000020000041,57000100000074,1000020002907,1000020000000,57,0.14438343,1000020000042,1000020002908,1000020000040,1000020000041,1000020006706,66013,6862.4463,4979.3296,6142.0767,11687,62.23741,56.868557,6.492425,112505,6,6,0,-151.84799,110.35822,-83.930145,376.0074,637.02655,8.380269,-19.069674,-18.688833,7019947,1,74,0.30553958,149
1000020000042,56000100000044,1000020002819,1000020000000,56,0.17489761,1000020000043,1000020002820,1000020000041,1000020000042,1000020006707,65513,6764.8477,5183.8213,6054.0312,11687,62.291508,56.839386,6.514967,112505,6,6,0,-138.16757,109.14469,-88.702385,385.43777,643.2887,7.3843613,-18.910442,-19.142647,7019942,1,44,0.29864496,159
1000020000043,55000100000041,1000020002813,1000020000000,55,0.20754863,1000020000044,1000020002814,1000020000042,1000020000043,1000020006708,65011,6676.4585,5252.1577,6009.105,11687,62.331833,56.804333,6.5457935,112505,6,6,0,-117.39045,110.40278,-86.15728,397.9073,655.3125,7.444241,-17.43012,-20.236797,2800487,1,41,0.28150088,140
1000020000044,54000100000000,1000020002748,1000020000000,54,0.24246909,1000020000045,1000020002749,1000020000043,1000020000044,1000020006709,66077,6679.9873,5230.8994,6035.9575,11687,62.353935,56.750782,6.5833883,112505,6,6,0,-113.90471,104.096794,-87.01159,406.80518,672.60156,8.606376,-18.530712,-22.392826,7019942,1,0,0.27518252,140
1000020000045,53000100000000,1000020002533,1000020000000,53,0.2798018,1000020000046,1000020002534,1000020000044,1000020000045,1000020006710,65036,6817.176,5238.387,6172.114,11687,62.37326,56.703686,6.636332,112505,6,6,0,-110.67664,100.61169,-94.46918,402.7637,647.9141,8.901004,-17.952589,-21.564785,7044505,1,0,0.2926388,441
1000020000046,52000100000000,1000020002505,1000020000000,52,0.31970343,1000020000047,1000020002506,1000020000045,1000020000046,1000020006431,62962,6709.5938,5181.0674,6191.048,11687,62.40908,56.684746,6.6697454,112505,6,6,0,-95.26127,89.12332,-98.25604,396.28836,637.7063,9.624647,-17.147207,-19.924715,7019945,1,0,0.28728172,529
1000020000047,51000100000044,1000020002406,1000020000000,51,0.36234027,1000020000048,1000020002407,1000020000046,1000020000047,1000020006432,58617,6281.2446,5151.7188,5898.683,11687,62.441956,56.661736,6.6986575,112505,6,6,0,-65.032555,72.9429,-105.650154,398.33755,649.843,10.902889,-16.369904,-17.577553,7019945,1,44,0.2585058,951
1000020000048,50000100000000,1000020002319,1000020000000,50,0.40789944,1000020000049,1000020002320,1000020000047,1000020000048,1000020006433,59595,5950.064,4988.9688,5561.9077,11687,62.449,56.656815,6.711164,112505,6,6,0,-68.788475,76.51055,-106.26541,424.60678,688.708,8.931337,-15.355769,-18.264141,6820080,1,0,0.23311412,834
