galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
8003183,8003504,-1,8001849,63000000000311,63000000000311,8000000,8003184,-1,0,63,0.0,480.50464,2715,26.431805,22.28519,25.547564,31417,2,2,2,97.73284,49.565758,-308.69156,6667,480.50464,0.27441782,274.418,299.692,0.24562085,3.602676,1.0933024,73.22653,5.7224206E-5,0.0073638293,0.0052584815,0.03513803,0.008730891,0.25727946,1.2689698E-7,0.59816813,0.0,0.0,0.0421943,0.056926493,-19.848593,-20.677046,-21.38169,-21.986086,-23.487877,-18.487473,-19.336636,-20.04538,-20.638084,-22.090078,-19.84242,-20.671995,-21.377607,-21.983105,-23.48699,10.887641,708
8003184,8003462,8003183,8001850,62000000000295,62000000000295,8000000,8003185,8003463,0,62,0.019932542,479.21365,2715,26.40808,22.27245,25.611399,31417,2,2,2,102.21868,53.655884,-306.1582,6626,479.21365,0.2727922,274.86447,299.19394,0.26754925,3.535518,1.0327013,73.01611,6.315122E-5,0.0072427834,0.005475792,0.03452438,0.008249703,0.25633278,1.4004038E-7,0.0,0.0,0.0,0.039461665,0.056596797,-19.75964,-20.633114,-21.353453,-21.96469,-23.47193,-18.443571,-19.291843,-19.99991,-20.591751,-22.042063,-19.752087,-20.626823,-21.34834,-21.960941,-23.470812,10.646963,308
8003185,8003462,8003184,8001851,61000000000304,61000000000304,8000000,8003186,-1,0,61,0.041403063,475.3407,2715,26.389498,22.256872,25.676565,31417,2,2,2,105.14171,52.632256,-301.38907,6404,475.3407,0.27054426,274.88644,298.7261,0.26754925,3.535518,1.0327013,72.28163,7.00727E-5,0.0072296495,0.005475792,0.03452438,0.008249703,0.25548515,1.5538912E-7,0.0,0.0,0.0,0.03928826,0.056384463,-19.788992,-20.659908,-21.378477,-21.98794,-23.492805,-18.469156,-19.3158,-20.022669,-20.613268,-22.0617,-19.781359,-20.653557,-21.373312,-21.984156,-23.491678,10.371107,205
8003186,8003462,8003185,8001852,60000000000297,60000000000297,8000000,8003187,-1,0,60,0.064493395,467.0784,2715,26.363474,22.237818,25.7424,31416,2,2,2,107.70533,53.886467,-299.37686,6404,467.0784,0.26732042,274.1251,298.7203,0.26754925,3.535518,1.0327013,70.918045,7.81776E-5,0.0072159823,0.005475792,0.03452438,0.008249703,0.2549212,1.7336201E-7,0.0,0.0,0.0,0.037652437,0.05645296,-19.820913,-20.688915,-21.405478,-22.012924,-23.515131,-18.496353,-19.34113,-20.046638,-20.635798,-22.082012,-19.812592,-20.681992,-21.39985,-22.008802,-23.5139,10.083253,194
8003187,8003462,8003186,8001853,59000000000307,59000000000307,8000000,8003188,-1,0,59,0.08928783,452.7915,2715,26.34584,22.218304,25.811237,31416,2,2,2,113.482,53.094597,-296.77576,6338,452.7915,0.26278225,272.22067,303.77667,0.26754925,3.535518,1.0327013,68.41963,8.7694614E-5,0.0072019454,0.005475792,0.03452438,0.008249703,0.25476158,1.9446641E-7,0.0,0.0,0.0,0.037723023,0.056937944,-19.855751,-20.72027,-21.434595,-22.039976,-23.540016,-18.525118,-19.367788,-20.071745,-20.659248,-22.102966,-19.84744,-20.713358,-21.42898,-22.035864,-23.53879,9.783934,80
8003188,8003462,8003187,8001854,58000000000288,58000000000288,8000000,8003189,-1,0,58,0.11588337,451.50052,2715,26.319294,22.197746,25.889442,31416,2,2,2,118.3653,52.828712,-291.0658,6264,451.50052,0.260584,272.97647,303.21323,0.26754925,3.535518,1.0327013,68.552246,9.890572E-5,0.007187164,0.005475792,0.03452438,0.008249703,0.2503692,2.1932749E-7,0.0,0.0,0.0,0.035472337,0.056318697,-19.894691,-20.75436,-21.465534,-22.067999,-23.564108,-18.555595,-19.395872,-20.09807,-20.683764,-22.124765,-19.885265,-20.74653,-21.459175,-22.063345,-23.56272,9.473682,411
8003189,8003462,8003188,8001855,57000000000303,57000000000303,8000000,8003190,-1,0,57,0.14438343,446.33658,2715,26.288273,22.175014,25.975178,31416,2,2,2,123.14564,52.64512,-291.83804,6112,446.33658,0.257469,273.04785,294.68994,0.26754925,3.535518,1.0327013,67.653725,1.1215644E-4,0.007171886,0.005475792,0.03452438,0.008249703,0.24980946,2.4871147E-7,0.0,0.0,0.0,0.033314124,0.056064118,-19.938784,-20.791542,-21.498856,-22.09835,-23.59141,-18.588022,-19.425585,-20.125807,-20.70951,-22.147882,-19.928057,-20.782642,-21.491632,-22.093065,-23.589834,9.1530905,539
8003190,8003462,8003189,8001856,56000000000245,56000000000245,8000000,8003191,-1,0,56,0.17489761,444.95953,2715,26.256403,22.158417,26.061956,31416,2,2,2,128.38663,51.93805,-290.03723,6099,444.95953,0.25489965,273.99686,291.146,0.26754925,3.535518,1.0327013,67.43444,1.2787104E-4,0.0071559385,0.005475792,0.03452438,0.008249703,0.24846826,2.8355916E-7,0.0,0.0,0.0,0.031415172,0.055427827,-19.996986,-20.836199,-21.537037,-22.132103,-23.620209,-18.622269,-19.45682,-20.154867,-20.7365,-22.172325,-19.984823,-20.826147,-21.528893,-22.126146,-23.618435,8.822863,144
8003191,8003462,8003190,8001857,55000000000251,55000000000251,8000000,8003192,-1,0,55,0.20754863,425.50867,2715,26.216658,22.140963,26.151646,31416,2,2,2,132.92969,51.830257,-284.03244,6065,425.50867,0.24866164,271.28125,295.67334,0.26754925,3.535518,1.0327013,64.25539,1.465758E-4,0.0071397703,0.005475792,0.03452438,0.008249703,0.24760133,3.2503772E-7,0.3514027,2.3122334E-6,0.0,0.028431948,0.05612668,-20.192636,-20.951841,-21.63045,-22.216198,-23.697594,-18.658339,-19.489552,-20.185194,-20.764599,-22.197847,-20.177,-20.939226,-21.620293,-22.208792,-23.695393,8.483708,922
8003192,8003434,8003191,8001858,54000000000225,54000000000225,8000000,8003193,8003435,0,54,0.24246909,432.39392,2715,26.183964,22.134075,26.236858,31416,2,2,2,134.55222,50.23702,-283.40292,5876,432.39392,0.24730282,274.21753,297.88358,0.2541418,3.5242784,1.0265398,65.21522,1.6892323E-4,0.007057518,0.0057153264,0.034412216,0.008236923,0.24680446,3.7459418E-7,0.0,0.0,0.0,0.030050553,0.054801166,-20.053904,-20.896156,-21.595383,-22.186838,-23.671373,-18.68647,-19.51506,-20.208681,-20.786469,-22.218712,-20.039303,-20.884048,-21.58556,-22.179655,-23.669233,8.149011,957
