haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
3002275,33000000003503,3002282,3000000,33,1.9126327,3002276,-1,3002274,3002275,-1,29,2.5819702,2.4959044,2.5819702,3126,9.351414,30.36726,22.260666,26547,1,3,2,13.776149,95.34454,324.8845,45.53512,75.527016,0.020201664,0.10295314,-0.1046688,1851844,0,3503,0.010594629,947
3002276,32000000003247,3002282,3000000,32,2.0700274,3002277,-1,3002275,3002276,-1,31,2.4098387,1.9795104,2.4098387,3126,9.344504,30.31601,22.09717,26547,1,3,2,17.91881,74.473976,320.5934,33.7565,64.759735,0.024121882,0.03447311,-0.09069513,1851870,0,3247,0.016600627,425
3002277,31000000003129,3002282,3000000,31,2.2394855,3002278,-1,3002276,3002277,-1,28,2.1516418,2.065576,2.1516418,3126,9.327502,30.301136,21.89941,26547,1,3,2,27.396961,56.28573,312.51926,35.712418,67.57936,-0.017856129,0.03352816,-0.11323719,1851937,0,3129,0.015465666,224
3002278,30000000003420,3002282,3000000,30,2.422044,3002279,-1,3002277,3002278,-1,23,2.065576,2.065576,2.065576,3126,9.304145,30.247028,21.753246,26545,1,3,2,36.35295,43.149483,297.41153,33.868145,65.27184,-0.006152384,0.12927394,-0.12187344,1851503,0,3420,0.012519891,647
3002279,29000000003379,3002282,3000000,29,2.6188614,3002280,-1,3002278,3002279,-1,25,1.8934448,1.4631164,1.9795104,3126,9.289465,30.2273,21.589087,26545,1,3,2,40.75053,33.864246,289977,36.42826,66.08054,0.004273169,0.06824934,-0.0901849,1851933,0,3379,0.013285195,473
3002280,28000000003274,3002282,3000000,28,2.8311827,3002281,-1,3002279,3002280,-1,25,1.9795104,1.9795104,1.9795104,3125,9.281604,30.226643,21.409788,26517,1,3,2,43.1628,25.239243,273.93414,37.52197,70.41785,0.023036128,0.07404906,-0.066059574,1851807,0,3274,0.011531092,862
3002281,27000000003675,3002282,3000000,27,3.060419,3002282,-1,3002280,3002281,-1,20,1.8073791,1.8073791,1.8073791,3125,9.250717,30.189545,21.255846,26517,1,3,2,41.433586,21.935818,257.93613,45.925617,70.70879,-0.0030731221,-0.02416245,-0.100244254,1851807,0,3675,0.008963134,956
3002282,26000000003387,3002282,3000000,26,3.3080978,-1,-1,3002281,3002282,-1,21,1.3770508,1.3770508,1.4631164,3125,9.239861,30.194248,21.09726,26517,1,3,2,42.178265,14.831085,244.39066,38.60482,70.49491,-0.04571779,-0.0110555515,-0.11526416,1851933,0,3387,0.009843778,651
4001930,63000000001965,4001969,4000000,63,0.0,4001931,-1,-1,4001930,-1,55,5.8524656,4.4754148,4.991809,3024,20.14479,25.482426,21.697412,30064,2,2,2,-132.10329,-182.4108,360.0394,34.080418,71.374374,-0.029575983,0.018609475,-0.10690294,1816343,0,1965,0.020558305,514
4001931,62000000002018,4001969,4000000,62,0.019932542,4001932,-1,4001930,4001931,-1,53,5.4221373,4.217218,4.6475463,3024,20.17098,25.514631,21.623377,30064,2,2,2,-123.17512,-150.6231,353.88724,37.546192,77.49269,0.024502657,-0.052894805,-0.102023676,1816344,0,2018,0.016895613,837
