haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
3002326,63000100000841,3002380,3000000,63,0.0,3002327,-1,-1,3002326,-1,279,27.454948,22.635271,24.872978,5993,8.661295,31.354269,23.122208,82724,0,3,2,99.20672,2.5392146,50.67754,63.11072,122.42531,0.40688595,0.18754439,-0.3726418,1901899,1,841,0.03736085,299
3002327,62000100000849,3002380,3000000,62,0.019932542,3002328,-1,3002326,3002327,-1,278,27.368883,22.377075,25.04511,5993,8.641105,31.354408,23.113958,82724,0,3,2,93.85064,19.27813,53.110348,63.491165,126.07801,0.33065516,0.28024098,-0.32001787,1874898,1,849,0.03890808,497
3002328,61000100000850,3002380,3000000,61,0.041403063,3002329,-1,3002327,3002328,-1,283,26.938555,22.291008,25.04511,5993,8.624125,31.344944,23.10246,82724,0,3,2,85.01486,41.257492,56.26866,63.35944,121.74237,0.38607708,0.29918632,-0.27356207,1874876,1,850,0.037322395,246
3002329,60000000000934,3002380,3000000,60,0.064493395,3002330,-1,3002328,3002329,-1,296,26.680359,22.291008,25.04511,5993,8.607827,31.335257,23.090315,82724,0,3,2,76.47321,64.28407,57.929142,63.69213,123.92674,0.56754845,0.42842194,-0.31248426,1874876,0,934,0.038260918,262
3002330,59000000000946,3002380,3000000,59,0.08928783,3002331,-1,3002329,3002330,-1,291,26.680359,22.118877,25.561504,5993,8.586931,31.321362,23.07599,82724,0,3,2,66.71955,86.95881,60.778744,64.29323,126.829666,0.39107037,0.29921082,-0.33381787,1874876,0,946,0.0394266,974
3002331,58000000000921,3002380,3000000,58,0.11588337,3002332,-1,3002330,3002331,-1,292,27.196753,22.721336,25.905767,5993,8.570742,31.296541,23.063406,82724,0,3,2,51.986965,120.32471,62.355286,63.184464,125.35925,0.61536634,0.3050714,-0.4231975,1874876,0,921,0.045625936,101
3002332,57000000000939,3002380,3000000,57,0.14438343,3002333,-1,3002331,3002332,-1,299,27.454948,22.291008,25.991833,5993,8.55607,31.256138,23.048393,82724,0,3,2,40.554996,143.39098,63.72028,59.154522,116.219925,0.57660884,0.3028159,-0.2988206,1873675,0,939,0.045720022,245
3002333,56000000000934,3002380,3000000,56,0.17489761,3002334,-1,3002332,3002333,-1,300,27.713146,22.893469,26.25003,3126,8.546077,31.210163,23.02177,26550,0,3,2,28.95469,166.94092,66.2448,59.696774,116.59932,0.6180831,0.25442263,-0.30931795,1873675,0,934,0.04441507,882
3002334,55000000000883,3002380,3000000,55,0.20754863,3002335,-1,3002333,3002334,3002389,293,27.885277,22.377075,25.905767,3126,8.5412445,31.156466,23.000572,26550,0,3,2,11.161855,195.71806,67.16887,61.993282,122.09923,0.48394546,0.16348098,-0.30441082,1901901,0,883,0.043915384,262
3002335,54000000000686,3002380,3000000,54,0.24246909,3002336,-1,3002334,3002335,3002420,314,29.26233,22.721336,27.196753,3126,8.533827,31.09247,22.979603,26550,0,3,2,-3.6713219,220.17296,69.20352,63.91919,126.643906,0.46728846,0.36713845,-0.3122778,1874873,0,686,0.045365114,751
3002336,53000000000697,3002380,3000000,53,0.2798018,3002337,-1,3002335,3002336,3002421,305,31.586102,23.409863,29.004131,3126,8.54131,31.010983,22.953112,26550,0,3,2,-22.665127,244.99742,67.34201,63.557972,122.25311,0.3730788,0.3929337,-0.4341471,1901879,0,697,0.043396816,630
3002337,52000000000874,3002380,3000000,52,0.31970343,3002338,-1,3002336,3002337,-1,293,28.401672,22.893469,26.336096,3126,8.561745,30.92634,22.930563,26550,0,3,2,-42.024902,263.87192,65.700676,63.231617,123.036766,0.32632908,0.24088347,-0.36750904,1901879,0,874,0.0369287,492
3002338,51000000000913,3002380,3000000,51,0.36234027,3002339,-1,3002337,3002338,-1,282,27.282818,22.635271,25.04511,3126,8.586383,30.82812,22.904305,26550,0,3,2,-56.073883,276.47528,61.80307,68.21073,123.97787,0.27553207,0.20514792,-0.34972185,1901879,0,913,0.036529347,272
3002339,50000000000932,3002380,3000000,50,0.40789944,3002340,-1,3002338,3002339,-1,286,26.163963,22.721336,25.389374,3126,8.612597,30.711864,22.886316,26550,0,3,2,-66.61766,282.96664,60.98024,69.78261,128.39717,0.3801349,0.43462574,-0.26433614,1901879,0,932,0.036526922,968
3002340,49000000000892,3002380,3000000,49,0.45657724,3002341,-1,3002339,3002340,-1,282,25.561504,22.204943,24.27052,3126,8.647152,30.60511,22.853106,26550,0,3,2,-76.47852,285.03162,57.83932,67.095856,125.81576,0.41395804,0.24904199,-0.34195712,1874873,0,892,0.03588988,502
3002341,48000000000907,3002380,3000000,48,0.5085914,3002342,-1,3002340,3002341,-1,271,24.012321,21.344286,23.151665,3126,8.675824,30.481157,22.820984,26550,0,3,2,-82.11373,282.29074,54.988083,65.051796,121.27585,0.4286313,0.30388618,-0.29843733,1901879,0,907,0.035287037,392
3002342,47000000000960,3002380,3000000,47,0.5641766,3002343,-1,3002341,3002342,-1,258,22.893469,19.88117,21.172155,3126,8.708434,30.360899,22.804218,26550,0,3,2,-87.6523,278.30322,49.40193,63.061947,118.27991,0.35682645,0.21690811,-0.32187176,1901879,0,960,0.036402278,772
3002343,46000000001023,3002380,3000000,46,0.6235901,3002344,-1,3002342,3002343,-1,232,20.913958,19.192644,20.397564,3126,8.745366,30.241507,22.783194,26548,0,3,2,-88.89603,263.32117,42.11336,65.21623,123.90645,0.34123638,0.27559257,-0.3355423,1874873,0,1023,0.031629212,162
3002344,45000000000992,3002380,3000000,45,0.6871088,3002345,-1,3002343,3002344,-1,238,20.0533,17.557398,19.709038,3126,8.784062,30.11434,22.776585,26548,0,3,2,-89.256,254.44353,36.67665,69.02061,126.28773,0.48586768,0.06746016,-0.3427299,1874849,0,992,0.02831481,126
3002345,44000000000990,3002380,3000000,44,0.75503564,3002346,-1,3002344,3002345,-1,227,19.536907,17.2992,18.848381,3126,8.821854,30.010117,22.763588,26549,0,3,2,-90.15242,238.63646,31.13626,64.30433,122.80281,0.3881728,0.24389233,-0.40455016,1901878,0,990,0.032376654,351
3002346,43000000000935,3002380,3000000,43,0.8276991,3002347,-1,3002345,3002346,-1,243,19.709038,17.729528,19.450842,3126,8.870539,29.895626,22.741638,26549,0,3,2,-86.3912,226.46576,26.175982,58.94691,112.24142,0.5352459,0.26739773,-0.44990668,1901859,0,935,0.038289506,523
3002347,42000000000919,3002380,3000000,42,0.9054624,3002348,-1,3002346,3002347,-1,253,19.622972,17.815594,19.450842,3126,8.923492,29.78421,22.726767,26549,0,3,2,-84.76641,220.128,17.857828,64.94715,123.663956,0.8019938,0.08765034,-0.34674495,1901859,0,919,0.03855005,266
3002348,41000000000905,3002380,3000000,41,0.98870814,3002349,-1,3002347,3002348,-1,254,19.450842,17.47133,19.364777,3126,8.984572,29.67347,22.722801,26549,1,3,2,-83.54407,207.48297,12.956545,71.326744,124.5944,0.788214,0.116333045,-0.31744465,1874877,0,905,0.03375026,555
3002349,40000000000916,3002380,3000000,40,1.0778745,3002350,-1,3002348,3002349,-1,236,20.655762,17.729528,20.569695,3126,9.014376,29.565659,22.718542,26549,1,3,2,-83.48126,196.88515,8.410445,73.92329,129.97546,0.74405074,0.08320866,-0.16299991,1874877,0,916,0.030423775,282
3002350,39000000000950,3002380,3000000,39,1.173417,3002351,-1,3002349,3002350,-1,217,19.795105,17.815594,19.709038,3126,9.068949,29.46322,22.72203,26549,1,3,2,-82.47066,186.41673,5.6119833,73.891,128.0873,0.45478207,0.20660684,-0.2884605,1874810,0,950,0.02961176,352
